[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_4803-1024x768.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_4803-1024x768.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_0264-1536x1154.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_0264-1536x1154.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_0269-150x150.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_0269-150x150.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_4803-300x225.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_4803-300x225.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-IMG_0264-1-150x150.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-IMG_0264-1-150x150.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_3061-768x768.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_3061-768x768.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_3194-768x576.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_3194-768x576.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_3061-300x225.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_3061-300x225.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_4804-300x225.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_4804-300x225.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/IMG_6277-150x150.jpg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/IMG_6277-150x150.jpg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-1-150x150.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-1-150x150.jpeg
[2025-06-19 08:15:47] [class-ss-setup-task.php:160] Adding file /Users/tibormegyeri/Local Sites/czirokakuriavendeghaz/app/public/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-2-1024x1024.jpeg to queue as: https://czirokakuriavendeghaz.local/wp-content/uploads/2025/02/cropped-cropped-IMG_4804-2-1024x1024.jpeg
